Institute,Sector,Positive,Negative,Score,Final Score
ROC Leeuwenborgh,Sectorunit zakelijke dienstverlening en veiligheid,1.0,2.0,0.5,Positive
ROC Leeuwenborgh,"Sectorunit zorg, welzijn en sport",2.0,4.0,0.4375,Negative
ROC Leiden,Sectorunit creatieve industrie en ICT,3.0,4.0,0.1875,Negative
ROC Leiden,Sectorunit handel,1.0,0.0,0.25,Negative
ROC Leiden,"Sectorunit mobiliteit, transport, logistiek, maritiem",1.0,0.0,0.25,Negative
ROC Leiden,Sectorunit techniek en gebouwde omgeving,2.0,3.0,0.375,Negative
ROC Leiden,"Sectorunit voedsel, groen en gastvrijheid",2.0,1.0,0.0,Negative
ROC Leiden,Sectorunit zakelijke dienstverlening en veiligheid,2.0,2.0,0.25,Negative
ROC Leiden,"Sectorunit zorg, welzijn en sport",5.0,4.0,-0.3125,Negative
ROC Menso Alting,Sectorunit handel,1.0,0.0,0.25,Negative
ROC Menso Alting,"Sectorunit zorg, welzijn en sport",2.0,0.0,0.0,Negative
ROC Midden Nederland,Sectorunit creatieve industrie en ICT,0.0,3.0,0.875,Positive
ROC Midden Nederland,Sectorunit handel,0.0,1.0,0.5,Positive
ROC Midden Nederland,Sectorunit techniek en gebouwde omgeving,0.0,1.0,0.5,Positive
ROC Midden Nederland,"Sectorunit voedsel, groen en gastvrijheid",0.0,1.0,0.5,Positive
ROC Midden Nederland,"Sectorunit zorg, welzijn en sport",0.0,4.0,0.9375,Positive
ROC Mondriaan,Sectorunit creatieve industrie en ICT,0.0,1.0,0.5,Positive
ROC Mondriaan,"Sectorunit mobiliteit, transport, logistiek, maritiem",0.0,1.0,0.5,Positive
ROC Mondriaan,"Sectorunit voedsel, groen en gastvrijheid",2.0,1.0,0.0,Negative
ROC Nijmegen eo,Bovensectoraal,0.0,1.0,0.5,Positive
ROC Nijmegen eo,Sectorunit creatieve industrie en ICT,0.0,4.0,0.9375,Positive
ROC Nijmegen eo,Sectorunit handel,0.0,2.0,0.75,Positive
ROC Nijmegen eo,"Sectorunit voedsel, groen en gastvrijheid",0.0,6.0,0.984375,Positive
ROC Nijmegen eo,Sectorunit zakelijke dienstverlening en veiligheid,0.0,2.0,0.75,Positive
ROC Nijmegen eo,"Sectorunit zorg, welzijn en sport",0.0,6.0,0.984375,Positive
ROC Regio College,Sectorunit creatieve industrie en ICT,0.0,2.0,0.75,Positive
ROC Regio College,"Sectorunit mobiliteit, transport, logistiek, maritiem",0.0,1.0,0.5,Positive
ROC Regio College,"Sectorunit voedsel, groen en gastvrijheid",0.0,5.0,0.96875,Positive
ROC Regio College,Sectorunit zakelijke dienstverlening en veiligheid,0.0,1.0,0.5,Positive
ROC Regio College,"Sectorunit zorg, welzijn en sport",5.0,5.0,-0.28125,Negative
ROC Rivor,Sectorunit handel,1.0,2.0,0.5,Positive
ROC Rivor,Sectorunit zakelijke dienstverlening en veiligheid,1.0,0.0,0.25,Negative
ROC Rivor,"Sectorunit zorg, welzijn en sport",0.0,3.0,0.875,Positive
ROC Ter AA,Sectorunit handel,0.0,2.0,0.75,Positive
ROC Ter AA,Sectorunit techniek en gebouwde omgeving,0.0,5.0,0.96875,Positive
ROC Ter AA,Sectorunit zakelijke dienstverlening en veiligheid,0.0,1.0,0.5,Positive
ROC Ter AA,"Sectorunit zorg, welzijn en sport",0.0,3.0,0.875,Positive
ROC Tilburg,Sectorunit handel,0.0,1.0,0.5,Positive
ROC Tilburg,"Sectorunit voedsel, groen en gastvrijheid",1.0,0.0,0.25,Negative
ROC Tilburg,Sectorunit zakelijke dienstverlening en veiligheid,0.0,1.0,0.5,Positive
ROC Tilburg,"Sectorunit zorg, welzijn en sport",2.0,3.0,0.375,Negative
ROC West-Brabant Prinsentuin College,"Sectorunit voedsel, groen en gastvrijheid",7.0,6.0,-0.765625,Negative
ROC West-Brabant,"Sectorunit mobiliteit, transport, logistiek, maritiem",0.0,1.0,0.5,Positive
ROC West-Brabant,Sectorunit techniek en gebouwde omgeving,0.0,10.0,0.9990234375,Positive
ROC West-Brabant,"Sectorunit voedsel, groen en gastvrijheid",2.0,3.0,0.375,Negative
ROC West-Brabant,"Sectorunit zorg, welzijn en sport",0.0,2.0,0.75,Positive
ROC de Leijgraaf,Sectorunit creatieve industrie en ICT,0.0,1.0,0.5,Positive
ROC de Leijgraaf,Sectorunit handel,0.0,2.0,0.75,Positive
ROC de Leijgraaf,"Sectorunit mobiliteit, transport, logistiek, maritiem",0.0,5.0,0.96875,Positive
ROC de Leijgraaf,Sectorunit techniek en gebouwde omgeving,1.0,0.0,0.25,Negative
ROC de Leijgraaf,"Sectorunit zorg, welzijn en sport",2.0,1.0,0.0,Negative
ROC van Amsterdam,Bovensectoraal,5.0,0.0,-0.75,Negative
ROC van Amsterdam,Sectorunit creatieve industrie en ICT,0.0,3.0,0.875,Positive
ROC van Amsterdam,Sectorunit handel,3.0,2.0,0.0,Negative
ROC van Amsterdam,"Sectorunit zorg, welzijn en sport",0.0,2.0,0.75,Positive
ROC Flevoland,Sectorunit creatieve industrie en ICT,0.0,1.0,0.5,Positive
ROC Flevoland,Sectorunit handel,1.0,0.0,0.25,Negative
ROC Flevoland,Sectorunit techniek en gebouwde omgeving,1.0,0.0,0.25,Negative
ROC Flevoland,"Sectorunit voedsel, groen en gastvrijheid",1.0,0.0,0.25,Negative
